id,TARGET_poverty,total_population,total_men,total_women,percent_hispanic,percent_white,percent_black,percent_native,percent_asian,percent_pacific,income_gross,income_per_capita,percent_employ_professional,percent_employ_service,percent_employ_office,percent_employ_construction,percent_employ_production,percent_travel_drive,percent_travel_carpool,percent_travel_walk,percent_travel_other,percent_work_at_home,total_employed,percent_employed_private,percent_employed_public,percent_employed_self,percent_employed_family,percent_unemployment
911,18.1,65767,33054,32713,3.2,88.9,3.3,0.3,2.1,0,53752,28283,33.7,19.9,23.7,8,14.7,80.9,7.6,4,1.1,5,37072,81,13.5,5.4,0.1,4.5
912,26.2,10000,5313,4687,3.1,79.1,16.8,0.6,0.2,0,31933,20961,23.8,25.4,24.3,14.8,11.7,84.4,7.2,4.4,2.3,1.7,3451,69.9,25.4,4.6,0,9.4
913,10.7,45509,22823,22686,38.8,58.1,1.5,0.2,0.3,0,68100,28887,32.8,16.5,23.6,15,12.1,81.8,11.3,0.7,0.5,5.6,20521,71.8,20.6,7.6,0.1,5.8
914,19.2,40018,19623,20395,4.5,54.9,36.8,0.2,1.4,0.3,45378,22187,31.4,18.5,24.3,14.1,11.6,79.4,12.1,2.4,3.1,2.5,17073,70.8,24.5,4.6,0.1,10.1
915,12.8,54759,27092,27667,1.4,95.6,1.4,0,0.6,0,43310,25351,34.4,17.1,24.8,7.3,16.4,84.2,8.8,1.8,0.6,4.2,24442,78.1,15.9,6,0,6.9
916,14.7,16664,8393,8271,23.1,64.1,11.5,0,0.4,0,53902,25006,24.7,23.7,23.4,13.2,14.9,79.4,13.5,2.6,0.9,3.4,7706,74.5,16.7,8.4,0.4,5.7
917,22.4,38616,18594,20022,2.6,89.7,3.7,0.3,1.8,0.1,39269,21757,31.1,20,24.7,9.5,14.7,77.1,9.8,7.7,1.6,3.5,17382,72.7,20.6,6.4,0.3,5.7
918,12.7,6486,3229,3257,2.9,95.8,0.1,0.4,0.3,0,45609,26763,37.3,14.6,19.7,16.9,11.5,75.3,7.8,4.4,1.6,10.8,3288,69.7,14.6,15.4,0.4,1.6
919,13.5,3107,1534,1573,1.7,96.6,1.2,0.3,0.2,0,46366,26416,37.5,16,14.8,12.9,18.8,76.7,10.3,4.8,0.5,7.6,1569,67.6,13.3,19.1,0.1,3.1
920,6.4,49071,24230,24841,3.7,86.6,7,0,0.5,0,89241,40553,41.9,14.6,26.2,9.3,8,77.7,9.8,1.6,1.2,7.6,25556,71.1,20.4,8.2,0.2,3.7
921,13.8,6975,4318,2657,2.5,90.5,0.5,3.8,1.1,0,40000,21536,35.5,22.4,17.7,13.9,10.4,71.9,9.9,6,1,10.9,2629,56.3,31.3,12.4,0,2.2
922,7.5,473592,232740,240852,23.8,62.1,6.2,0.2,5.4,0,73750,31876,45.4,14.6,24.9,7.4,7.7,80.6,9.4,0.9,1.4,6.9,233418,78.9,14.9,6,0.1,6
923,13.7,23722,11628,12094,2.1,95.8,0.3,0.2,0.4,0,49243,24186,22.9,15.7,19.8,8.5,33.1,86.1,8.7,0.7,1.6,2.9,10269,84,11.4,4.4,0.2,5.6
924,12.2,1413,702,711,0.7,87.6,0,7.9,0,0,51776,26239,37.8,18.9,15.1,18.5,9.7,68.2,2.8,10.1,2.7,14.7,762,66,19.2,13.4,1.4,1.8
925,8,20575,10306,10269,2.2,95.2,1,0.2,1.1,0,60788,29052,36.4,16.4,21.9,10.9,14.4,68.1,6.6,14.8,1.5,9,11957,81.2,9.7,9,0.1,2
926,55.5,25205,12258,12947,99.2,0.5,0.2,0,0,0,15806,8649,26.9,20.7,29.2,12.1,11.1,87.3,3.9,6.5,0.3,1.7,6284,66.7,24.1,9.3,0,16.1
927,18.4,23439,11651,11788,1.5,90.5,7.4,0,0.2,0,38358,20859,23,15.5,21.4,12,28,84.5,10.9,0.5,0.8,3.1,9392,81.8,12.4,5.8,0,6.1
928,13.6,111151,55819,55332,9.3,86.1,2.5,0.2,0.8,0,54693,27959,28,19.1,22.6,10.6,19.6,84.5,8.3,1.9,1.4,3.5,50811,83.7,11.9,4.2,0.2,8.3
929,11.1,818249,403587,414662,10.8,77.9,4.3,0.2,4.7,0,69313,34691,41.7,17.3,22.5,7.6,10.9,80.7,8.4,2.7,1.5,5.1,413989,81.5,12.9,5.3,0.2,6.1
930,11.3,14704,7288,7416,3.6,93.4,1.2,0.1,0.7,0,50555,27605,31,16.2,19.6,9.9,23.2,81.5,9.1,2.6,0.7,5.2,6765,76.4,14.6,8.8,0.1,5.8
931,18.2,31822,15714,16108,1.9,90.1,0.4,4.7,0.5,0,40328,24311,28.9,19.8,18.1,18.7,14.5,73.6,13.2,5.1,1.4,6.3,12881,65.4,18.6,15.9,0.2,7.9
932,16.4,22350,12547,9803,4.1,71.8,21.4,0.5,0.4,0.2,37188,16979,26.6,22.2,23.6,12,15.6,80.9,14.7,0.9,2.7,0.7,6861,72.2,21.2,6.6,0,5.9
933,9.6,50199,24794,25405,1.6,95.6,0.7,0.1,0.5,0,57514,29427,35.5,17.7,22.5,9.4,14.8,84.8,8.7,1.4,1.3,3.3,23960,80.1,14.9,4.9,0.2,6.9
934,7.7,100031,53967,46064,7.7,71.1,4,6.3,3,0.4,76250,35328,37.6,15.6,23.2,13.9,9.6,74.8,15,4.1,2.6,2.7,46725,65.4,30,4.4,0.2,8
935,14,92697,45715,46982,2.3,95.2,0.8,0.3,0.4,0,45310,23314,25.9,18.4,22.1,9.8,23.8,84.5,9.2,2,1.6,2.5,42879,84.5,10,5.3,0.2,7
936,10.9,4986,2421,2565,2.2,96,0.1,0.3,0.9,0,50642,27621,32.6,18.5,19.5,14.6,14.8,80.7,6.3,2.9,0.6,9.4,2134,67.1,18.1,14.6,0.2,5
937,18.3,16765,8223,8542,1.5,96.1,1.4,0,0.1,0,47955,23749,24.4,14.2,22.8,14.3,24.3,85.8,8,0.9,0.2,4.7,7403,83.4,10.4,6,0.3,4.7
938,11.2,10268,5140,5128,2.4,94.9,0,1.3,0.2,0,49767,28153,34.3,18.4,20.9,17.3,9.1,63.5,14.6,8.5,3,8.9,5126,73.6,12.7,12.9,0.8,3.9
939,39.6,7221,3744,3477,92.9,5.1,0.1,0,1.9,0,22741,13179,19.6,32.4,25.3,11.1,11.5,84,10.8,2,0.1,3.1,2416,72.8,20.9,6.3,0,19.8
940,9.9,13322,6641,6681,4.4,84.3,0.7,6.8,0.2,0.3,53592,25920,30.8,19.6,21,12.5,16.1,83.4,9.3,1.4,0.5,5.3,6280,70.5,19.9,8.9,0.7,5.6
941,13.5,9663,4742,4921,13.9,73.2,1.8,6.9,0.7,0,44549,20589,25,19,22.5,14.4,19.1,79.5,12.2,1.9,1.7,4,4127,78.6,13.2,8,0.2,4
942,13.7,17110,8208,8902,2.5,68.7,27.8,0,0,0,45569,23983,32.8,19,19.4,11,17.8,85.9,7.5,0.7,3.3,2.6,6949,80.5,14.7,4.8,0.1,6.7
943,9.3,1703,840,863,2.1,94,0,1.5,0,0,46346,29902,43,14.1,17.1,18.9,6.9,59.2,7.7,9.6,3,20.6,965,51.2,23.5,23.2,2.1,4.5
944,13.9,38248,19091,19157,14.6,81,1.4,0.3,1.5,0,45558,23592,23.4,17.2,18.6,11,29.8,84.3,9.9,1.5,1.5,2.2,17137,82.9,12.7,4.3,0.1,6.4
945,20.2,3976,2010,1966,1,96.5,0.4,0,0.1,0.4,39674,22171,33.3,12.9,21.3,16,16.6,77.7,7.2,4.4,0.6,10,1642,73.4,10.5,15.5,0.5,5.8
946,17.5,291240,141396,149844,6.3,69.2,20.5,0.2,2.2,0,43907,22618,30.8,16.1,23.8,8.8,20.6,84.6,10.3,1.5,0.7,2.6,128253,83.1,12.1,4.7,0.1,8.9
947,13.8,6987,3558,3429,2.8,93.2,1.2,0.2,0,1,48427,25686,34.2,18.1,15.2,13.8,18.7,87.6,5.8,2.2,0.9,3.4,3387,72.7,18.8,7.9,0.6,4.8
948,13.5,80989,39357,41632,2.9,73.4,21.2,0.3,0.6,0,54981,26251,34.8,13.2,26.3,11,14.7,86.2,10.2,0.6,0.6,2.2,33054,72.9,21.4,5.6,0.1,7.3
949,12.3,62992,31578,31414,4.7,91.8,0.5,1.2,0.7,0,51055,26335,28.3,19.8,24.5,10.3,17.1,79.3,10.9,3.9,2.1,3.7,32534,81.6,12,6,0.3,5.5
950,8.1,70673,34241,36432,5.2,76.5,13.4,0.3,2.9,0,75710,39802,45.1,18.2,23.3,7.4,6,83,7.7,1,1.6,5.7,31685,72,22.8,5,0.2,5.1
951,8.1,4327,2249,2078,20.1,77.4,0.2,0.3,0.4,0,50076,27790,32.2,20.2,20.4,16.4,10.8,71.5,16.4,7.7,1.4,3,2104,70.9,15.5,13.2,0.5,2
952,15.1,13733,6832,6901,5.5,74.2,1.3,7.1,0.4,0,47077,23146,28.2,24,22.9,11.3,13.6,81.4,12.5,2.7,0.1,3.1,6115,70.8,22,6.2,1,3.6
953,7.5,250132,122344,127788,4.2,77,13.1,0.2,2.6,0,83445,37972,43.3,15.2,24.5,7.9,9.1,83.4,8.6,1.2,0.8,4.4,129108,74.9,20.9,4.1,0.1,5.2
954,20.6,14999,7403,7596,11.4,71.6,16.6,0,0,0,37267,18550,26.4,15,23.6,17.3,17.6,87.2,9.9,1.2,0.3,1.3,5472,77.4,18.3,4.3,0,5
955,24.1,20468,10316,10152,3.8,38.2,50,4.5,0.3,0,34254,19354,25.7,21.7,27.5,8.8,16.3,86.5,8.2,0.7,0.5,4.1,6958,68,22.1,9.3,0.7,10.7
956,13.4,568183,277666,290517,9.7,75.3,9.8,0.3,2.4,0.1,51536,29405,38.4,19.1,24.7,8.5,9.4,81.6,8,1.1,2.7,6,239195,81.6,13.1,5.2,0.2,7.6
957,18.3,52580,25278,27302,5.2,70.6,22.1,0,0.5,0,35293,20159,25,16.5,26.7,9.4,22.4,87.8,8.9,0.2,0.6,2.2,21466,81.7,13.8,4.3,0.1,10
958,14.1,125188,60612,64576,3,91.6,2.9,0.3,0.8,0,48286,25916,32.4,16.7,26.1,10.7,14.1,85.3,8.9,0.9,1,3.7,56262,79.6,13.2,7,0.1,7.8
959,14.1,16215,8795,7420,9.1,87.4,0.3,0.8,0.5,0.1,52651,27669,33.2,23.1,19.1,16.3,8.3,57.7,10.5,16.2,8.6,3.9,9429,71.7,18,9.2,1.2,7.3
960,39.5,20866,11054,9812,2.5,92.6,3.3,0.3,0,0.1,24596,15388,24.8,21.2,24.7,11.5,17.9,76.9,16,2.6,2.1,2.3,5762,74,22.6,3.2,0.3,9.1
961,13.8,109719,53143,56576,9.9,83.6,2.9,0.3,1,0.1,46448,26059,32.9,16.8,24,12,14.4,81.2,10.7,1.6,0.9,5.3,46387,79.8,11.8,8.2,0.1,6
962,26.9,93899,44511,49388,98.6,1.1,0.1,0,0.1,0,34719,23166,46.4,14.9,26.8,6,5.9,82,8.2,2,1.2,3.6,37469,69.4,18.2,12.3,0.1,12.4
963,47.7,28454,13335,15119,99.9,0,0,0,0,0,18718,8665,22.5,30.2,26.1,10.1,11.1,76.9,10.7,2.8,0.8,0.6,8443,61.9,33.7,4.5,0,26.2
964,19.3,80888,39140,41748,2.2,63.1,32.1,0.3,0.6,0,39219,21382,28.6,16.3,22.2,10.4,22.5,83.7,10.3,1.6,1.2,2.6,30937,79,15.9,4.9,0.3,10
965,25.1,44829,20984,23845,7.1,41.2,49.3,0.3,0.5,0,33316,18606,23,23.6,23.3,9.8,20.3,85.2,10.4,2.1,0.3,1.8,17461,74.9,20.6,4.4,0,12.2
966,14,14056,7041,7015,6.1,91.5,0.1,0.1,0.6,0,52193,24315,17,15.6,23.5,20.5,23.5,83.1,10.2,1.3,3.9,1.1,6311,85.5,9.1,5.3,0,7.1
967,14.1,8268,4581,3687,1.2,91,5.3,0.5,0.5,0,50268,27098,25.6,20.3,24.5,12.9,16.8,87.8,9.1,0.8,0.9,1.2,2829,77.5,16.3,6.2,0,3.4
968,15,1914526,937266,977260,27.6,49.8,15.1,0.3,4.9,0.2,58711,29058,36.3,16,25.7,8.9,13.1,82.9,10,1.2,1.4,3.9,924741,83.1,11.4,5.4,0.1,6.9
969,13.3,52356,25694,26662,1.4,96.5,0.6,0.2,0.3,0,44632,22832,24.9,14.9,19.9,13.2,27,83.6,7.8,2.2,1,4.4,23751,82.6,9.6,7.4,0.5,7.6
970,10.4,7013,4053,2960,4,88,1,4.2,0.5,0,45254,22165,39.5,19.4,16.7,8.4,15.9,69.5,10.1,5.7,1.1,13.6,2806,61,21.1,17.4,0.6,0.9
971,16.7,507574,247026,260548,39.1,43.3,11,0.1,5.2,0,59739,27643,32,17.6,24.8,7.5,18.1,71.1,11.4,3.2,2.1,2.9,229762,84.1,11.5,4.2,0.1,8.6
972,49.4,40293,19618,20675,99.8,0.2,0,0,0,0,18233,9634,29.2,20.1,22.7,13.8,14.1,89.2,2.6,5.6,1.4,1,11567,64.4,28,7.5,0,11.5
973,19.4,6406,3753,2653,3.2,78.2,6.4,6.3,0.2,0,41221,19442,29.5,25.9,23.4,8.4,12.9,76.4,12.8,4,1.9,4.9,2064,72.9,23.4,3.4,0.3,11.8
974,23.7,39949,19625,20324,71.5,13.1,0.4,14,0.4,0,36098,19678,35.2,27.1,19.9,10.8,7,80.8,11,1,2.4,3.3,15272,55.7,36.6,7.5,0.3,11.4
975,14.5,4251,2142,2109,13.3,83.7,0.7,0.1,0.2,0,47121,25941,35.2,18.4,22.9,15.5,8.1,76.5,12,3.9,2.4,5.2,2032,64,24,11.3,0.7,3.7
976,24.7,18471,9090,9381,9.7,69.6,17.9,0.6,0.8,0,37089,19936,26,13.9,18.7,22.8,18.6,82.9,11.3,2.4,0.6,2.6,6951,78.8,16.2,4.9,0.2,7.7
977,19.8,138330,64688,73642,2.4,53.2,41.5,0.2,1.2,0,42080,22877,34.1,18.9,25.4,7.9,13.7,83.9,9.3,1.2,1.6,3.7,58296,78,16.4,5.5,0.1,12.1
978,34.1,123554,58788,64766,10.6,55.6,27.3,0.1,4.2,0,34557,21203,40.7,21.3,19.9,5.7,12.4,74.6,10.3,3.9,2.5,4.2,57801,71.7,23.6,4.5,0.3,7.6
979,9.2,17326,8659,8667,1.4,97,0.3,0.1,0.3,0,60534,30768,30.9,13.2,20.9,12.4,22.6,82,6.5,3,0.3,8,9345,79,10.4,9.9,0.7,2.5
980,11.3,20084,10015,10069,4.1,93.6,0.3,0.1,0.9,0,53627,30806,32.5,18,22,12.1,15.5,78.6,9.2,2.7,1.4,6.8,10236,82.2,8.8,8.8,0.3,3.1
981,27.7,16339,9532,6807,11.6,49.1,38.8,0,0,0,28044,13594,24.5,19.2,18,12.1,26.2,88,4.1,3,1.8,3.1,4823,66.8,27.2,6,0,4.1
982,29,4631,2177,2454,0.6,26.9,71.9,0.1,0.4,0,30033,17192,46.3,24.4,13.2,11.8,4.4,81,13.4,2.7,0.5,0.4,1509,61.8,28.7,9.3,0.1,14.9
983,14.2,136638,67141,69497,36.9,45.5,1.9,11.9,1.3,0,58982,26742,39.7,17.5,25,10,7.8,81.9,8.3,1.3,1.5,5.7,58433,72.3,21.4,6.2,0.1,9.2
984,15.3,10363,5212,5151,2.9,92.2,0.2,0.9,0.7,0.2,46069,24951,35.3,17.7,20.1,16.7,10.1,72.6,8,5.7,3.8,9.7,4050,64.7,26.4,8.6,0.2,4.8
985,22.8,5223,2586,2637,6.8,81.2,8.2,0.4,0.7,0,42432,20704,32.6,14.8,22,11.3,19.3,83.7,9.9,2.6,1.5,2.3,1830,72.8,16.2,11,0,13.6
986,20.1,6381,3382,2999,0.9,97.8,0.1,0,0.3,0,39688,19744,20.5,16.9,20.1,9.8,32.7,85.1,10.3,0.5,0,2.5,2529,70.1,23.5,6.4,0,5.4
987,6.8,443,232,211,1.4,98.6,0,0,0,0,43750,25378,43.7,8.3,21.7,20.1,6.3,43.1,13.3,14.1,0.4,29,254,57.9,22,18.9,1.2,6.6
988,9.2,116754,58883,57871,5.7,84.7,7.3,0.3,0.7,0,54771,33168,30.4,21.6,28.1,9,11,75.8,6.1,0.9,6.9,10.1,23889,79.2,13,7.6,0.2,6.6
989,16.4,4790,2389,2401,3.3,92.5,0.2,0.8,1.1,0,39517,23545,26.4,16.3,19.3,23.7,14.2,72.9,8.4,4.7,0,14,1967,66.3,13,17.9,2.7,4.6
990,8.8,241427,119074,122353,3.2,87.9,3.3,0.1,3.4,0,61820,32398,38.6,15.5,26.5,6.4,13.1,82.4,8.3,3.9,1,3.8,121280,79,16,4.9,0.2,5.6
991,11.8,6557,3325,3232,9.9,88.3,0.3,0.1,0.1,0.1,57991,28185,27.8,16.4,18.4,25.3,12.2,67.8,17.3,4.8,2,7,3061,73.7,21.7,4.5,0,6.3
992,16.8,5741,2942,2799,35.2,62,0.1,0.3,0.3,0.2,57500,24691,33,11.2,16.5,20.7,18.7,80.3,12.3,3.1,0.4,3.9,2569,71.7,14.8,13.5,0,4.5
993,23.2,40176,19455,20721,1.3,96.7,0.5,0.3,0.3,0,32028,18117,23.8,18.7,24.3,13.9,19.4,86.6,10.8,0.5,0.8,1.2,13897,78,15.8,6.1,0,9.9
994,14.7,14858,7210,7648,3.5,81.7,13.4,0.2,0.2,0,47118,27528,33.1,22.1,21.2,12.5,11.1,76.2,10.3,1.7,3.1,8.2,6694,69.1,16.1,14.2,0.6,5.7
995,22.8,2140,1024,1116,0.6,41.9,50.7,0,5,0.2,26750,18921,13.7,18.7,28.9,3.3,35.4,73,22.3,0.8,1.9,1.9,729,69,21,10,0,12.1
996,11.9,555036,268818,286218,9.6,58.5,24.1,0.2,5.4,0,68336,34541,43.9,17,23.4,7.1,8.7,80.5,7.7,2.4,1.1,4.2,269164,84.7,12,3.2,0.1,6.5
997,27.6,26290,12505,13785,1.3,49.5,47.9,0.1,0.4,0,31672,18776,24.7,18.6,22.7,14.2,19.8,89.7,7.7,0.7,1.1,0.8,9422,85.4,10.3,4.1,0.3,6.1
998,17.7,3588,1766,1822,10.1,82.5,5.7,0.6,0.4,0.1,36681,20204,32.9,24.9,16.5,14.1,11.6,68.7,16.5,5.3,1.3,8.2,1411,56.4,29.8,13.7,0,3.9
999,6.5,211300,104886,106414,9.5,74.9,2.9,0.2,10.5,0,96445,39896,51.1,11.3,24.8,6.1,6.7,77.6,9.1,0.7,1.3,10.9,103649,84.9,9.1,5.9,0.1,4.2
1000,28.1,15152,7538,7614,5.1,45.8,0.2,46.8,0.7,0.2,41484,15654,32.7,21.6,20,15.7,10.1,75.1,10.8,5.7,0.7,7.1,5026,60.1,33.7,5.8,0.3,8.4
1001,8.1,10117,5353,4764,7.7,88.1,0,0,0.5,0,81772,33193,37.9,12.7,12.8,18.4,18.3,75.3,9.5,7.9,1.3,5.2,5541,73.1,22.8,3.9,0.1,5.4
1002,9.9,4809,2485,2324,9.6,87.8,0.9,0.3,0.5,0,51458,26279,39,15,16.1,14.9,14.9,74.7,9.2,3.3,1,11.1,2213,63.9,20.9,15,0.2,4.2
1003,11,6214,3152,3062,7.5,90.7,0.3,0,0.7,0,46825,27344,30.4,13.9,16.5,12.8,26.3,80.6,10.4,3.6,1.4,4.1,3004,70.6,16.6,12.7,0,2.8
1004,17,16066,7888,8178,1.4,92,5.3,0,0.2,0,45007,24118,29,18.5,17.4,14.2,21,85.9,9.3,0.9,1.3,1.6,6539,77.3,16.3,6.3,0.1,5.1
1005,12.5,167881,82806,85075,14.2,68.5,12.7,0.2,2.2,0,57365,25022,32.2,21.5,23.9,8.5,13.9,78.2,9.5,2.2,0.7,5.1,76767,81,14.1,4.8,0.1,12
1006,15.1,14530,7307,7223,0.6,96.6,0.9,0.1,0.4,0,49706,23191,24.6,12.9,22.2,14.9,25.4,88.4,8.2,0.2,0,2.9,6415,81.8,12.4,5.8,0,4.8
1007,16.5,61399,29873,31526,3.4,91.9,1.8,0.1,1.2,0,48588,24625,36.8,20.2,22.4,9.5,11.1,72.2,9.5,9,1.3,6.2,28464,72.2,17.6,9.5,0.6,7.1
1008,18.1,24560,12223,12337,1.1,96.4,1.1,0.1,0.2,0.2,40330,20230,31.8,18.4,19.8,14.5,15.5,81,9.5,3.6,1.7,4,9682,76.9,17,5.7,0.3,8
1009,20.2,10318,5167,5151,2.3,58.9,0.4,34.6,0.1,0,48614,23010,37,16.8,20.1,11.5,14.5,73.4,10.8,6.7,1.1,7.4,4416,63.8,21.1,14.6,0.5,7.6
1010,18.6,121183,60691,60492,2.3,94.5,0.8,0.2,0.6,0,47860,23466,28.8,20.4,22.6,12,16.3,81.1,9.4,4,1,3.7,52204,76.5,17.8,5.6,0.2,9.7
1011,16.3,121282,59387,61895,4,80.6,11.4,0.3,1.3,0.1,50316,25240,36,17.4,25.1,10.4,11.1,83.5,9.7,1.9,1.4,3.4,57306,78.3,16,5.6,0.1,5.1
1012,9,37640,19549,18091,3.1,91.6,3.5,0.3,0.6,0,64543,30382,34.6,15.9,21.4,11.3,16.7,83.5,8.8,1.9,1.6,3.1,18718,80.5,13.4,6,0,3.9
1013,13.1,316782,159112,157670,13.8,78.2,0.8,0.2,4.5,0.1,75669,42119,53.2,15.6,19.4,5,6.7,64.7,7.9,5.1,5.6,11.8,170940,78.9,13.1,7.8,0.2,5.2
1014,11.3,34164,17021,17143,1.9,96,0.6,0.1,0.2,0,54655,29300,30.6,16.4,23,11.4,18.6,86,7.2,1.8,1.2,3.4,17229,83.2,8.9,7.2,0.7,4.4
1015,16.7,28978,14515,14463,16.2,70.7,3.1,2.5,1.4,0.1,46125,23044,27.4,19.8,22.4,16.5,13.9,82.8,10.6,2.6,0.4,3.4,14072,71.2,19.8,8.1,0.8,3.7
1016,18.5,104108,49905,54203,3.2,67.2,26.5,0.3,0.8,0,42803,24781,31.1,18.6,25.7,10.2,14.3,89.2,6.9,0.7,0.8,2.3,44108,81.9,12.1,5.8,0.2,7.6
1017,25.5,5736,2979,2757,1.3,81.5,13.9,0,1,0.3,34746,20055,18.7,18.8,27.7,13.2,21.7,92.7,4.7,1.1,0.5,0.6,2160,83.2,15.4,1.3,0,7.3
1018,5.3,99488,49597,49891,12.7,81.2,2.2,0,2.3,0,96148,41173,40.7,17.1,25.5,10.7,5.9,76.3,8.8,1.2,0.8,4.5,51412,76,17.6,6.1,0.3,6.8
1019,21.2,115938,55903,60035,2.3,87.1,7.1,0.1,1.3,0,41208,23271,32.4,21.6,24.1,8,13.9,80,8.1,4.7,2,3.4,53152,81.9,14.3,3.7,0.1,7.9
1020,10.4,203291,100119,103172,9.3,74.2,9.6,0.1,3,0.1,61971,28599,33.5,18.3,26.6,10.9,10.7,83.3,8.1,1.1,1.9,5.4,91705,82.1,14.1,3.8,0.1,8.1
1021,11.6,15956,7643,8313,5.8,89.3,0.5,0.7,1.4,0.1,55960,39266,37.7,22,19.1,13.7,7.5,63.7,11.6,9.5,4,9.1,7633,68.9,14.3,16.2,0.5,5.9
1022,25.6,18017,9643,8374,1.7,92.5,3.9,0.4,0.1,0,30763,16916,26.5,19.5,21.9,12.4,19.7,80.9,10.9,0.3,0.7,6.7,6048,65.6,24.8,9.4,0.2,9
1023,13.3,10522,5445,5077,43.1,54.2,1.6,0.1,0.1,0.2,51367,22857,20.6,11.9,18.5,14.5,34.5,75.1,11.5,6,3.1,4.2,5224,83.3,8.2,8.3,0.3,6.4
1024,15.1,118947,61875,57072,6.9,82.7,5.1,0.3,1.4,0.2,49505,23659,32.3,21.5,25.1,11.2,9.8,75.9,11.1,6.8,1.9,4,44732,67,26.2,6.7,0.1,10.6
1025,35.7,4380,2215,2165,3.6,13.9,0,79.4,0.2,0.1,38068,15557,40.8,26.7,19.3,5.6,7.6,66.3,14.8,5.5,0.8,12,1291,32.9,56.8,10.2,0.1,20.3
1026,12.8,44958,24755,20203,5.6,84.6,6.5,0.3,1.3,0,49803,22863,32.4,20.4,20.8,10.2,16.2,74.9,9.1,4.6,2.4,8.9,17585,79,11.5,9.2,0.4,6.1
1027,17.9,1629507,769434,860073,25.8,47.1,12.7,0.1,11.6,0,72871,64993,59.2,13.8,20.7,2.1,4.1,6.1,1.9,20.7,5.4,6.8,884457,83.6,8.5,7.8,0.1,7.5
1028,18.6,19476,9400,10076,2.9,93.4,2.5,0.3,0.1,0,36672,19379,22.3,15.9,23.2,11.4,27.2,85.8,10.4,1.5,1,1.1,7890,82.4,12.2,5.2,0.1,10.8
1029,23.3,5884,2885,2999,0.4,68.4,30.3,0.8,0,0,37255,21002,28.8,23.2,20.6,14.1,13.2,85.7,8.1,1,2,1.7,2368,63.1,26,10.9,0,5.7
1030,11.2,4384,2226,2158,2.1,96,0.8,0.2,0.4,0,52304,30525,32.8,16.9,18.4,9.5,22.4,72.4,9.8,7.6,0.5,8.3,2189,73.3,14.8,11.7,0.2,2.6
1031,13.6,9365,4924,4441,2.7,93.1,0.8,2.7,0.1,0.1,52738,27878,36,17.9,16.4,14.7,14.9,72.6,13.9,4.9,1.7,6.7,4694,73.8,15.2,10.5,0.5,2
1032,23.7,42450,19411,23039,3.3,45.1,48.4,0.1,1.2,0,32315,20933,31.6,21,23.5,5.1,18.7,82.1,10.4,2,1.2,2.1,16682,78.4,15.9,5.3,0.5,12.7
1033,12.4,159900,78944,80956,4.3,84.6,5.7,0,2.3,0,60709,30803,38.9,16.7,25.4,8.6,10.3,80.8,8.8,4.2,0.9,3.2,80144,74.3,20.8,4.8,0.1,7.6
1034,16.2,17293,8611,8682,19.7,66.2,12.3,0.2,0.4,0,51821,24894,27.4,16.4,22.8,15.9,17.6,82.6,13.4,0.8,0.6,2.6,7352,69.4,21.7,8.4,0.5,7.5
1035,4.2,12077,5912,6165,2.3,92.6,1,0.1,1.8,0,83735,38428,50,12.6,21.2,8,8.2,88.7,5,0.1,1.5,4.6,5932,73.6,20.4,5.5,0.5,4.5
1036,14.2,413965,203262,210703,18.2,74.7,4.1,0.1,1.4,0,55936,27146,31.3,16.3,24.2,9.2,18.9,80.2,9.8,3.3,1.5,3.6,197703,85.8,9.1,5,0.1,9
1037,20.4,73346,35791,37555,4,59.2,31.4,0.1,2.8,0,44504,23410,26.4,19,24.9,15.2,14.4,84.2,9.5,2.2,2.1,1.6,30316,80.6,12.9,6.5,0.1,11.2
1038,23.7,41095,20693,20402,1.8,65.3,30.1,1.2,0.1,0.1,36763,20199,31.6,24.4,17.4,12.6,14,85.2,9,2,2,1.6,14753,75.3,19.7,4.9,0.1,7.7
1039,12.8,356774,175608,181166,27.2,63.6,6.8,0.2,1.3,0,62407,41239,30.6,24.2,24.1,13.5,7.6,74.6,11.3,1.5,2.8,7.3,150802,84.6,8.2,7,0.1,5.3
1040,4,351129,173986,177143,13.2,59.3,7.2,0.2,16.1,0.1,123453,47495,56.4,12.9,20.8,4.6,5.3,78.3,8.8,1.7,1,6.8,186474,78.5,16.9,4.5,0.1,4
1041,19.3,46252,22409,23843,2.4,87,7.1,0.1,0.4,0,43458,23958,28.6,17.3,22.6,10.4,21.1,86.9,7.8,1.6,0.8,2.4,20942,82.3,13.1,4.4,0.1,4.8
1042,17.9,13885,8643,5242,3.6,64.6,31.1,0.4,0,0,38873,13142,25.6,22.3,19.5,14.2,18.4,83.3,12.5,1.3,0.3,2.7,3359,70.4,24,4.6,1,8.1
1043,20.9,186081,94992,91089,8.1,77,4.7,0.1,8,0,50486,25481,39.2,17.7,20.6,6.7,15.8,74.1,10.6,6.7,2.3,3.2,91869,79.5,16.8,3.5,0.2,5.2
1044,8.6,2973,1463,1510,0.9,95.1,0,2.8,0,0,52500,29235,34.5,20.7,19.8,12.5,12.5,73.3,5.7,5.2,0.8,14.5,1538,68.5,12.8,18.4,0.3,0.4
1045,24.3,28748,13762,14986,3,44.4,51.7,0,0.2,0,38046,18756,28.1,19.8,23.4,9.3,19.4,84.1,11.6,1.6,0.7,1.6,10312,80.8,15.5,3.6,0.1,12.3
